ledger,asset count
39749979,24
39749375,27
39748770,9
39748165,30
39747560,21
39746955,24
39746351,24
39745746,20
39745141,33
39744536,19
39743931,10
39743327,31
39742722,30
39742117,25
39741512,9
39740907,12
39740303,33
39739698,19
39739093,21
39738488,17
39737883,13
39737279,19
39736674,20
39736069,29
39735464,27
39734859,41
39734255,36
39733650,43
39733045,32
39732440,38
39731835,28
39731231,19
39730626,18
39730021,17
39729416,21
39728811,24
39728207,31
39727602,25
39726997,19
39726392,26
39725787,16
39725183,31
39724578,44
39723973,25
39723368,24
39722763,24
39722159,14
39721554,30
39720949,31
39720344,16
39719739,34
39719135,21
39718530,32
39717925,25
39717320,21
39716715,45
39716111,28
39715506,21
39714901,23
39714296,23
39713691,34
39713087,16
39712482,14
39711877,24
39711272,27
39710667,19
39710063,16
39709458,19
39708853,19
39708248,23
39707643,33
39707039,21
39706434,36
39705829,39
39705224,43
39704619,27
39704015,28
39703410,34
39702805,14
39702200,17
39701595,41
39700991,21
39700386,22
39699781,33
39699176,26
39698571,34
39697967,24
39697362,31
39696757,21
39696152,24
39695547,36
39694943,31
39694338,32
39693733,21
39693128,24
39692523,39
39691919,15
39691314,28
39690709,28
39690104,15
39689499,25
39688895,19
39688290,25
39687685,22
39687080,32
39686475,27
39685871,13
39685266,24
39684661,29
39684056,22
39683451,22
39682847,16
39682242,23
39681637,21
39681032,16
39680427,15
39679823,25
39679218,23
39678613,39
39678008,34
39677403,18
39676799,24
39676194,27
39675589,29
39674984,23
39674379,29
39673775,12
39673170,28
39672565,20
39671960,18
39671355,15
39670751,36
39670146,17
39669541,23
39668936,30
39668331,25
39667727,20
39667122,12
39666517,25
39665912,17
39665307,14
39664703,14
39664098,25
39663493,22
39662888,33
39662283,32
39661679,33
39661074,15
39660469,29
39659864,20
39659259,38
39658655,22
39658050,21
39657445,23
39656840,29
39656235,25
39655631,17
39655026,31
39654421,28
39653816,22
39653211,19
39652607,16
39652002,15
39651397,23
39650792,19
39650187,14
39649583,16
39648978,19
39648373,24
39647768,23
39647163,41
39646559,18
39645954,17
39645349,20
39644744,35
39644139,19
39643535,28
39642930,21
39642325,27
39641720,22
39641115,15
39640511,17
39639906,19
39639301,16
39638696,28
39638091,31
39637487,19
39636882,30
39636277,25
39635672,26
39635067,21
39634463,34
39633858,34
39633253,38
39632648,17
39632043,23
39631439,19
39630834,26
39630229,13
39629624,34
